region_id,population
40858, 245308
1093, 145838
1094, 155805
1095, 607375
1096, 69536
1097, 167523
900405, 147561
900406, 72793
900407, 115465
900408, 574259
900409, 68512
900410, 167487
1098, 9411
1099, 13987
1100, 16472
1101, 4978
1102, 6035
1103, 1219
1104, 570
1105, 7812
1106, 8125
1107, 1064
1108, 251173
1109, 153755
1110, 217198
1111, 68101
1112, 3317913
1113, 353053
1114, 90961
1115, 319956
1116, 69617
1117, 535451
1118, 70766
1119, 296972
1120, 473648
1121, 192976
1122, 184997
1123, 59981
1124, 285423
1125, 343844
1126, 95375
1127, 114057
1128, 700778
1129, 241845
1130, 389913
1131, 162248
1132, 1068456
1133, 54288
1134, 231149
36854, 105832
36855, 189415
36856, 240945
36857, 61149
36858, 1085691
901058, 1270
901059, 321587
901060, 342528
901061, 1068578
901062, 477347
901063, 160954
901064, 188908
901065, 352855
901066, 191946
901067, 95223
901068, 114286
901069, 73151
901070, 183736
901071, 54224
901072, 232139
901073, 250820
901074, 287162
901075, 692347
901076, 60731
901077, 156561
901078, 214141
901079, 71455
901080, 63385
901081, 73035
901082, 241936
901083, 92275
901084, 535330
901085, 296233
901086, 389513
901087, 239637
901088, 105677
901089, 1083785
901090, 3327461
1135, 862345
1136, 201886
1137, 247171
1138, 179675
1139, 528557
1140, 486196
1141, 685466
1142, 665515
1143, 33162
1144, 4299369
1145, 466815
1146, 500257
1147, 945526
1148, 1601678
1149, 196221
1150, 173995
1151, 226217
1152, 118199
1153, 3232509
1154, 252729
1155, 586114
1156, 114080
1157, 40427
22007, 404821
22008, 483412
2746, 902635
2747, 958540
2748, 1903568
2750, 6244942
2751, 2054634
2754, 686509
2765, 1132363
2766, 444515
2768, 942184
37021, 1551975
1184, 379671
1185, 163509
1186, 245192
1187, 303829
1188, 853706
1189, 380009
1190, 226078
1191, 194580
1192, 480667
1193, 1828897
1194, 184720
1195, 594899
1196, 535986
1197, 380260
900381, 380640
900382, 162738
900383, 240808
900384, 303303
900385, 857528
900386, 375885
900387, 228459
900388, 195289
900389, 474956
900390, 1817881
900391, 183287
900392, 603902
900393, 528462
900394, 379739
900395, 25690
1198, 3397
1199, 323680
1200, 35874
1201, 150641
1202, 178277
1203, 391459
1204, 212704
1205, 523389
1206, 4952
1207, 971255
1208, 111290
1209, 933892
1210, 521944
1211, 1142349
1212, 620795
1213, 6422
1214, 173392
1215, 25918
1216, 26635
1217, 54663
1218, 19944
1219, 78771
1220, 26915
1221, 49711
1222, 44981
1223, 154928
1224, 26415
1225, 41962
1226, 29594
149727, 343
1227, 3502603
1228, 1861717
1229, 22334584
1230, 1152606
1231, 467138
1232, 583902
1233, 254980
1236, 21576006
1237, 5930411
47678, 39829760
47679, 6396318
900532, 3425390
900533, 2000717
900534, 22352252
900535, 1221300
900536, 463096
900537, 549788
900538, 250961
